idx,vid,total,percentage,simple,weighted_simple,pagerank,elo,entropy,pid,p_name,alias,c_votecount,c_rating,c_average,title_ja,title_en,title_zh,search,rank
4919,v22033,-1.234,-0.076,-0.150,-0.627,6367.239,1323.107,-0.050,,,,99,7.360,7.360,添いカノ～ぎゅっと抱きしめて～,,,添いカノぎゅっと抱きしめてnan,1578
5053,v22553,1.569,0.302,0.521,1.272,8823.816,1481.566,0.174,,,Kamisana,178,7.360,7.360,神待ちサナちゃん,,神待少女纱波,神待ちサナちゃん神待少女纱波kamisana,1579
5100,v22702,0.830,0.218,0.346,0.823,10298.010,1595.908,0.124,,,,402,7.360,7.360,WILL -素晴らしき世界-,WILL: A Wonderful World,WILL：美好世界,will素晴らしき世界willawonderfulworldwill美好世界nan,1580
5275,v23742,2.372,0.295,0.614,1.837,6144.109,1594.062,0.234,,,,741,7.360,7.360,イブニクル2,Evenicle II,Evenicle II,イブニクル2evenicleiievenicleiinan,1581
5784,v27092,0.211,0.234,0.384,0.643,11055.037,1482.301,0.062,,,,211,7.360,7.360,真剣で私に恋しなさい! A 猟犬ルートアフター,,,真剣で私に恋しなさいa猟犬ルートアフターnan,1582
5824,v27457,1.149,0.217,0.408,1.062,8227.933,1619.565,0.140,,,,359,7.360,7.360,徒花異譚,Adabana Odd Tales,徒花异谭,徒花異譚adabanaoddtales徒花异谭nan,1583
2241,v10475,-0.512,-0.070,-0.159,-0.410,26420.036,2061.876,-0.060,,,,32,7.350,7.530,青春はじめました！,,,青春はじめましたnan,1584
5521,v25494,-0.305,-0.024,-0.056,-0.219,6428.524,1347.561,-0.024,,,OtotsukiFD,33,7.350,7.530,乙女が結ぶ月夜の煌めき Fullmoon Days,,,乙女が結ぶ月夜の煌めきfullmoondaysototsukifd,1585
239,v301,-1.671,-0.412,-0.700,-1.412,5109.967,1380.686,-0.193,,,,36,7.350,7.500,ディープ・ボディ ～変態淫具奴隷調教遊戯～,,,ディープ・ボディ変態淫具奴隷調教遊戯nan,1586
4405,v20079,-0.100,-0.001,-0.020,-0.088,7542.466,1613.326,-0.040,,,,38,7.350,7.490,大阪AWAKING,,,大阪awakingnan,1587
773,v1562,-2.465,-0.515,-0.667,-1.466,20600.865,1534.242,-0.161,,,,38,7.350,7.480,みらくるのーとん 只今増量中!!,,,みらくるのーとん只今増量中nan,1588
5964,v28483,0.561,0.159,0.298,0.586,9330.429,1540.988,0.082,,,,40,7.350,7.480,ガールズ・ブック・メイカー ～グリムと三人のお姫さま 3～,,,ガールズ・ブック・メイカーグリムと三人のお姫さま3nan,1589
6167,v29870,-0.847,-0.173,-0.344,-0.764,9263.693,1194.185,-0.103,,,,42,7.350,7.460,百合ラブスレイブ　わたしだけの委員長,,,百合ラブスレイブわたしだけの委員長nan,1590
2405,v11173,-0.970,-0.128,-0.259,-0.693,20346.236,1620.568,-0.110,,,"The Pet Girl of Sakura Dormitory, SakuPet, Sakurasou",45,7.350,7.450,さくら荘のペットな彼女,,,さくら荘のペットな彼女thepetgirlofsakuradormitorysakupetsakurasou,1591
6768,v38287,0.106,0.060,0.115,0.178,30608.155,2400.055,0.039,,,,45,7.350,7.450,,Goddesses' Whim,Goddesses' Whim,goddesseswhimgoddesseswhimnan,1592
529,v1009,-0.243,-0.053,-0.143,-0.300,15362.528,2200.361,-0.062,,,,49,7.350,7.440,あさき、ゆめみし,,,あさきゆめみしnan,1593
825,v1814,0.340,0.124,0.207,0.368,16793.293,1914.391,0.057,,,,48,7.350,7.440,ルーデシア Spidering with Scraping,,,ルーデシアspideringwithscrapingnan,1594
4801,v21537,-0.844,-0.074,-0.159,-0.547,8196.387,1460.658,-0.066,,,Meikupisu\nめいくぴーす,48,7.350,7.440,ツギハギめいくぴーす！-pretending×friendship-,,,ツギハギめいくぴーすpretendingfriendshipmeikupisunめいくぴーす,1595
3305,v15808,-1.200,-0.204,-0.413,-0.967,24584.476,2170.703,-0.128,,,Судьба: Начало\nСудьба/Начало\nДоля/Початок,60,7.350,7.410,,,,nn,1596
1140,v3234,1.221,0.224,0.417,0.992,8478.263,1533.494,0.134,,,,64,7.350,7.400,擬態催眠,,,擬態催眠nan,1597
5891,v28130,0.885,0.185,0.379,0.864,6760.848,1647.292,0.122,,,,66,7.350,7.400,ねこツク、さくら。,,,ねこツクさくらnan,1598
1601,v6058,-0.814,-0.185,-0.291,-0.618,5118.419,1455.573,-0.069,,,Circumstances of a Mom Squeeze,68,7.350,7.390,ママしぼり2（ママしぼりの事情）,,,ママしぼり2ママしぼりの事情circumstancesofamomsqueeze,1599
380,v684,1.047,0.203,0.434,1.021,7797.141,1709.740,0.156,,,,75,7.350,7.380,フォセット ～Cafe au Le Ciel Bleu～,,,フォセットcafeaulecielbleunan,1600
1416,v4906,-0.815,-0.087,-0.189,-0.570,4685.652,1410.478,-0.074,,,,78,7.350,7.370,あかときっ！ -夢こそまされ恋の魔砲-,,,あかときっ夢こそまされ恋の魔砲nan,1601
2186,v10216,0.974,0.131,0.262,0.736,6106.405,1734.354,0.091,,,Bero-Chu! - Magic Tongue and Cosplay Maids,86,7.350,7.370,ベロちゅー！ ～コスプレメイドをエロメロしちゃう魔法の舌戯～,,,ベロちゅーコスプレメイドをエロメロしちゃう魔法の舌戯berochumagictongueandcosplaymaids,1602
3442,v16413,0.045,0.096,0.146,0.148,6239.994,1413.867,0.029,,,,85,7.350,7.370,悪魔娘の看板料理,,,悪魔娘の看板料理nan,1603
2234,v10447,0.642,0.158,0.309,0.662,8557.611,1612.273,0.101,,,Il dort dans le grand bleu,92,7.350,7.360,創世奇譚アエリアル,,,創世奇譚アエリアルildortdanslegrandbleu,1604
6342,v31210,0.588,0.090,0.176,0.470,6309.966,1421.506,0.051,,,How to Marry Elves.,93,7.350,7.360,エルフのお嫁さん～ハーレム婚推奨～,,,エルフのお嫁さんハーレム婚推奨howtomarryelves,1605
170,v185,1.213,0.335,0.527,1.024,12681.622,1750.615,0.136,,,Classmates\nNanpa 1,106,7.350,7.350,同級生,,同级生,同級生同级生classmatesnnanpa1,1606
420,v765,1.120,0.238,0.476,1.222,6126.636,1775.737,0.170,,,,424,7.350,7.350,プリンセスラバー！,,公主恋人,プリンセスラバー公主恋人nan,1607
1351,v4429,1.048,0.278,0.514,1.077,9525.061,1898.526,0.137,,,11eyes RF\n11eyes-交错的视线,154,7.350,7.350,11eyes -Resona Forma-,,11eyes-交错的视线,11eyesresonaforma11eyes交错的视线11eyesrfn11eyes交错的视线,1608
1555,v5734,0.673,0.208,0.424,0.937,6779.525,1821.629,0.138,,,Love-love-ru\nRaburabu-ru,202,7.350,7.350,ラブラブル～Lover Able～,,,ラブラブルloverableloveloverunraburaburu,1609
1887,v7786,0.455,0.145,0.309,0.677,7957.334,1747.417,0.090,,,Harupoco,134,7.350,7.350,春季限定ポコ・ア・ポコ!,,春季限定Poco·A·Poco,春季限定ポコ・ア・ポコ春季限定pocoapocoharupoco,1610
2406,v11179,0.329,0.192,0.313,0.664,9232.143,1478.245,0.096,,,N9\nNorn9 ~Norns + Nonette~,642,7.350,7.350,NORN9 ~ノルン+ノネット~,Norn9: Var Commons,命运九重奏,norn9ノルンノネットnorn9varcommons命运九重奏n9nnorn9nornsnonette,1611
2819,v13062,-0.521,0.061,0.077,-0.124,7031.253,1629.442,-0.010,,,Dokodona\nドコのドナタの感情ルート\nDoko no Donata no Kanjou Route\nDoko no Donata no Kanjou Keiro,120,7.350,7.350,ドコのドナタの感情経路,,,ドコのドナタの感情経路dokodonanドコのドナタの感情ルートndokonodonatanokanjouroutendokonodonatanokanjoukeiro,1612
3009,v14264,-0.223,0.088,0.179,0.291,5998.167,1595.409,0.044,,,,219,7.350,7.350,ゴールデンマリッジ,,,ゴールデンマリッジnan,1613
3124,v14887,2.980,0.337,0.643,2.203,6950.721,1563.926,0.281,,,プライマルハーツ\nプラハ\nPxH,1246,7.350,7.350,PRIMAL×HEARTS,PRIMAL HEARTS,PRIMAL×HEARTS,primalheartsprimalheartsprimalheartsプライマルハーツnプラハnpxh,1614
3383,v16156,-0.199,0.076,0.150,0.357,8082.464,1608.785,0.067,,,,569,7.350,7.350,,Lucid9,Lucid9,lucid9lucid9nan,1615
3532,v16743,0.986,0.257,0.396,1.019,6445.041,1565.701,0.129,,,,1513,7.350,7.350,ルーシィ ～彼女が望んでいたもの～,Lucy -The Eternity She Wished For-,露西 - 她所期望的一切 -,ルーシィ彼女が望んでいたものlucytheeternityshewishedfor露西她所期望的一切nan,1616
3552,v16842,-0.023,0.179,0.280,0.443,8761.560,1735.793,0.057,,,,338,7.350,7.350,デート・ア・ライブ Twin Edition 凜緒リンカーネイション,Date A Live: Rio Reincarnation,Date A Live: Rio Reincarnation,デート・ア・ライブtwinedition凜緒リンカーネイションdatealiverioreincarnationdatealiverioreincarnationnan,1617
3827,v18259,-0.057,0.042,0.067,0.038,5196.878,1463.916,0.017,,,,165,7.350,7.350,巨乳令嬢ＭＣ学園,,,巨乳令嬢学園nan,1618
4474,v20330,0.259,0.181,0.361,1.004,4652.386,1608.597,0.135,,,Newrin\n牛頓與蘋果樹,1457,7.350,7.350,ニュートンと林檎の樹,Newton and the Apple Tree,牛顿与苹果树,ニュートンと林檎の樹newtonandtheappletree牛顿与苹果树newrinn牛頓與蘋果樹,1619
4795,v21529,2.310,0.209,0.444,1.632,4481.725,1498.279,0.190,,,EroMahou\nHmaho\nMore! Knock Me Up! An Ero-Magic Academy in the Parallel World of Fiery Boobs!,989,7.350,7.350,もっと！孕ませ！炎のおっぱい異世界エロ魔法学園！,"OPPAI Academy: Big, Bouncy, Booby Babes!",吹弹！丰盈！波涛汹涌！异世界魔法学园！,もっと孕ませ炎のおっぱい異世界エロ魔法学園oppaiacademybigbouncyboobybabes吹弹丰盈波涛汹涌异世界魔法学园eromahounhmahonmoreknockmeupaneromagicacademyintheparallelworldoffieryboobs,1620
5141,v22826,0.991,0.187,0.306,0.745,8535.442,1377.768,0.098,,,Incestral Awakening,428,7.350,7.350,,Insexual Awakening,Insexual Awakening,insexualawakeninginsexualawakeningincestralawakening,1621
5177,v23019,-0.497,-0.088,-0.202,-0.486,4765.443,1193.099,-0.049,,,,157,7.350,7.350,ふらっちーず2,,,ふらっちーず2nan,1622
5886,v28103,1.341,0.219,0.431,1.093,8725.336,1435.177,0.130,,,,116,7.350,7.350,爆乳だけど地味な眼鏡奥さんは好きですか？～ファミレスパートの人妻が堕ちるまで～,,,爆乳だけど地味な眼鏡奥さんは好きですかファミレスパートの人妻が堕ちるまでnan,1623
6047,v28877,-0.217,0.018,0.004,-0.151,5344.941,1358.672,-0.008,,,Oneshota,96,7.350,7.350,おね→ショタ←おね,,,おねショタおねoneshota,1624
1875,v7760,-0.351,0.007,-0.011,-0.168,31763.191,2018.989,-0.032,,,Giancarlo’s Lucky Happy Life,31,7.340,7.530,Gian･carlo'S LUCKY HAPPY LIFE,,,giancarlosluckyhappylifegiancarlosluckyhappylife,1625
2556,v12111,0.461,0.181,0.255,0.407,18767.912,1966.148,0.018,,,,31,7.340,7.530,天使のお仕事 -Their Wishes Afterward-,,,天使のお仕事theirwishesafterwardnan,1626
6644,v34532,0.113,0.059,0.137,0.241,7429.876,1877.638,0.048,,,,32,7.340,7.520,ハジラブ -Making＊Lovers- ミニファンディスク Vol.02 小唄＆初穂編,,,ハジラブmakingloversミニファンディスクvol02小唄初穂編nan,1627
906,v2166,0.461,0.165,0.190,0.301,24943.220,1804.785,-0.007,,,,39,7.340,7.470,アンジェリーク,,,アンジェリークnan,1628
255,v346,-0.338,-0.035,-0.107,-0.320,5838.080,1393.673,-0.057,,,姫散華 〜牝へと堕ちゆく双子の王女〜,44,7.340,7.450,姫奴隷～牝へと堕ちゆく双子の王女～,,,姫奴隷牝へと堕ちゆく双子の王女姫散華牝へと堕ちゆく双子の王女,1629
6470,v32305,0.281,0.100,0.163,0.295,30093.127,2067.591,0.054,,,,46,7.340,7.440,,What a Legend!,What a Legend!,whatalegendwhatalegendnan,1630
4253,v19598,0.260,0.064,0.141,0.308,22700.222,1433.574,0.058,,,,50,7.340,7.430,,Wilder,Wilder,wilderwildernan,1631
1910,v7880,-0.937,-0.204,-0.391,-0.841,7974.204,1519.055,-0.124,,,,61,7.340,7.390,淫獣艦獄～DIRTY PRISON SHIP～,,,淫獣艦獄dirtyprisonshipnan,1632
5076,v22610,-0.628,-0.049,-0.099,-0.351,5768.263,1321.054,-0.043,,,白グラ\nShirogra\nEternal snow blooming season of love.,60,7.340,7.390,白恋サクラ＊グラム,,,白恋サクラグラム白グラnshirograneternalsnowbloomingseasonoflove,1633
4385,v20013,-0.240,0.071,0.083,0.006,26052.247,1561.677,-0.037,,,,70,7.340,7.380,,80 Days,80 Days,80days80daysnan,1634
1765,v7230,-0.058,0.080,0.168,0.218,6199.207,1683.688,0.046,,,Sucré,74,7.340,7.370,シュクレ～sweet and charming time for you～,,,シュクレsweetandcharmingtimeforyousucr,1635
1945,v8093,0.374,0.104,0.213,0.415,5698.517,1669.117,0.062,,,Honoo no Haramase Ore no Yome Oppai Musou+,73,7.340,7.370,炎の孕ませ俺の嫁 おっぱい乳双＋ ～エクストリームに発育中なおっぱい幼なじみに毎日中出し＆おっぱい身体測定！～,,,炎の孕ませ俺の嫁おっぱい乳双エクストリームに発育中なおっぱい幼なじみに毎日中出しおっぱい身体測定honoonoharamaseorenoyomeoppaimusou,1636
6941,v46789,-0.324,0.106,0.144,0.058,15729.103,2049.278,-0.030,,,,69,7.340,7.370,AMBITIOUS MISSION アフターエピソード2 弥栄＆虹夢＆シャル,,,ambitiousmissionアフターエピソード2弥栄虹夢シャルnan,1637
4900,v21964,0.144,0.159,0.276,0.416,16114.432,1901.233,0.044,,,メモリーズオフ -イノサンフィーユ-\nMemories Off IF\nMO8\nMemories Off 8,80,7.340,7.360,メモリーズオフ -Innocent Fille-,,告别回忆-无垢少女-,メモリーズオフinnocentfille告别回忆无垢少女メモリーズオフイノサンフィーユnmemoriesoffifnmo8nmemoriesoff8,1638
6059,v28985,1.368,0.253,0.511,1.226,8323.413,1554.764,0.172,,,,82,7.340,7.360,アイキス2,,,アイキス2nan,1639
6123,v29421,1.149,0.265,0.420,0.888,20697.693,1638.047,0.106,,,,81,7.340,7.360,,Now & Then: A Tale of the End,Now & Then: A Tale of the End,nowthenataleoftheendnowthenataleoftheendnan,1640
1385,v4651,-0.322,-0.031,-0.059,-0.204,4606.219,1334.844,-0.026,,,,89,7.340,7.350,母乳が染み出る愛娘 愛美「お父さん、私のミルクたくさん搾ってほしいの……」,,,母乳が染み出る愛娘愛美お父さん私のミルクたくさん搾ってほしいのnan,1641
6060,v28999,-0.255,0.020,0.063,0.022,6003.171,1310.297,0.005,,,Muchimuku,84,7.340,7.350,ムチムチだからムクムクした～幼なじみとの過ごし方～,,,ムチムチだからムクムクした幼なじみとの過ごし方muchimuku,1642
6726,v37021,0.201,0.178,0.310,0.511,11891.163,1845.294,0.057,,,Flip Flop IO,87,7.340,7.350,FLIP＊FLOP ~INNOCENCE OVERCLOCK~,,,flipflopinnocenceoverclockflipflopio,1643
1158,v3319,0.225,0.057,0.070,0.233,6492.388,1549.207,0.026,,,Queen of Darkness 2: The Second Reproduction,759,7.340,7.340,The Second Reproduction,The Second Reproduction,The Second Reproduction,thesecondreproductionthesecondreproductionthesecondreproductionqueenofdarkness2thesecondreproduction,1644
1283,v4028,1.722,0.291,0.580,2.005,5090.653,1715.994,0.236,,,"Koichoco\nLove, Election & Chocolate\nLove Election and Chocolate\nLove, Elections & Chocolate\n恋チョコ",2854,7.340,7.340,恋と選挙とチョコレート,"Love, Elections, & Chocolate",恋爱与选举与巧克力,恋と選挙とチョコレートloveelectionschocolate恋爱与选举与巧克力koichoconloveelectionchocolatenloveelectionandchocolatenloveelectionschocolaten恋チョコ,1645
1691,v6710,0.830,0.291,0.505,1.545,4913.738,1735.084,0.200,,,Princess Evangile～プリンセスエヴァンジール～\nプリンセスエヴァンジール\nPrieva,3475,7.340,7.340,Princess Evangile,,,princessevangileprincessevangileプリンセスエヴァンジールnプリンセスエヴァンジールnprieva,1646
2110,v9847,0.924,0.179,0.383,0.918,9138.804,1748.757,0.120,,,ぐれんか,101,7.340,7.340,紅蓮華,,,紅蓮華ぐれんか,1647
3035,v14425,1.920,0.282,0.504,1.310,9066.120,1801.843,0.160,,,,123,7.340,7.340,催眠術Re,,,催眠術renan,1648
3321,v15892,0.066,0.179,0.375,0.983,5594.188,1583.344,0.132,,,,622,7.340,7.340,ハロー・レディ！ -New Division-,,淑女同萌！-New Division-,ハロー・レディnewdivision淑女同萌newdivisionnan,1649
4380,v20002,0.554,0.178,0.355,0.735,7624.817,1544.187,0.112,,,君瞳\n君の瞳にヒットミー,151,7.340,7.340,キミの瞳にヒットミー,,你的眼眸命中我心头,キミの瞳にヒットミー你的眼眸命中我心头君瞳n君の瞳にヒットミー,1650
4639,v20975,0.246,0.127,0.265,0.498,6007.975,1463.422,0.073,,,,98,7.340,7.340,初情スプリンクル,,,初情スプリンクルnan,1651
5034,v22483,2.025,0.247,0.504,1.660,5685.762,1390.358,0.202,,,Temptation of Elder Sister\noneyuu,863,7.340,7.340,如月真綾の誘惑,,如月真绫的指导,如月真綾の誘惑如月真绫的指导temptationofeldersisternoneyuu,1652
5110,v22726,1.272,0.230,0.451,1.168,6697.695,1436.863,0.163,,,,235,7.340,7.340,家の恋人,Uchikano: Living With My Lovers,Uchikano: Living With My Lovers,家の恋人uchikanolivingwithmyloversuchikanolivingwithmyloversnan,1653
5649,v26262,0.037,0.178,0.224,0.281,21356.118,1553.945,0.025,,,Project Nagoya,151,7.340,7.340,,Eliza,伊莱莎,eliza伊莱莎projectnagoya,1654
5871,v27938,2.223,0.234,0.473,1.470,6695.750,1375.455,0.173,,,,234,7.340,7.340,いつまでも息子のままじゃいられない！6 ～巨乳でクールな母さんのおっぱいに抱かれながらたっぷり甘えたいっ！～,,,いつまでも息子のままじゃいられない6巨乳でクールな母さんのおっぱいに抱かれながらたっぷり甘えたいっnan,1655
5897,v28151,-0.986,0.051,0.089,0.015,6465.890,1379.976,0.025,,,PT7,263,7.340,7.340,グリザイア ファントムトリガー Vol. 7,,灰色幻影扳机第7卷,グリザイアファントムトリガーvol7灰色幻影扳机第7卷pt7,1656
5978,v28545,1.014,0.247,0.392,0.837,15344.926,1466.700,0.098,,,,154,7.340,7.340,,Perfect Gold: The Alchemy of Happiness,Perfect Gold: The Alchemy of Happiness,perfectgoldthealchemyofhappinessperfectgoldthealchemyofhappinessnan,1657
6166,v29865,0.107,0.071,0.194,0.415,6559.710,1389.463,0.059,,,彼女(ﾋﾛｲﾝ)は友達ですか?恋人ですか?それともトメフレですか? Second\nKanojo (Heroine) wa Tomodachi Desu ka? Koibito Desu ka? Soretomo Tomefure Desu ka? Second\nTomeFureS\nTomeFure S\nTo meet a familiar friends,93,7.340,7.340,彼女は友達ですか？恋人ですか？それともトメフレですか？ Second,,,彼女は友達ですか恋人ですかそれともトメフレですかsecond彼女は友達ですか恋人ですかそれともトメフレですかsecondnkanojoheroinewatomodachidesukakoibitodesukasoretomotomefuredesukasecondntomefuresntomefuresntomeetafamiliarfriends,1658
6251,v30458,0.559,0.221,0.347,0.702,9544.933,1521.954,0.083,,,ガマンができない童貞アニキとスナオになれない反抗妹\n童貞兄妹\nDouteiKyoudai\nVirgin Brother with a LACK of Self-control and Rebellious Little Sister Contrarian,372,7.340,7.340,ガマンができない童貞兄キと、スナオになれない反抗妹,Desperate Virgin Brother & Rebellious Little Sister,无法忍耐的处男哥哥和不直率的叛逆妹妹,ガマンができない童貞兄キとスナオになれない反抗妹desperatevirginbrotherrebelliouslittlesister无法忍耐的处男哥哥和不直率的叛逆妹妹ガマンができない童貞アニキとスナオになれない反抗妹n童貞兄妹ndouteikyoudainvirginbrotherwithalackofselfcontrolandrebelliouslittlesistercontrarian,1659
253,v335,-1.273,-0.230,-0.445,-1.038,9624.600,1514.901,-0.170,,,ガーデン,30,7.330,7.520,Garden,,,gardenガーデン,1660
589,v1140,0.961,0.266,0.440,0.854,20930.281,1977.230,0.092,,,,33,7.330,7.500,マジスキ～Marginal Skip～,,,マジスキmarginalskipnan,1661
6622,v34121,-0.144,0.015,0.078,0.094,23285.692,2011.221,0.041,,,Hayazaki no Kuroyuri\nEarly-blooming black lily,35,7.330,7.490,早咲きのくろゆり,Black Lily's Tale,提早绽放的黑百合,早咲きのくろゆりblacklilystale提早绽放的黑百合hayazakinokuroyurinearlybloomingblacklily,1662
7037,v50789,-0.728,-0.039,-0.046,-0.268,34460.017,2500.774,-0.048,,,,35,7.330,7.490,終のステラ後日談：微かな希望の日記,Stella of The End After Story: Diary of a Faint Hope,星之终途后日谈：渺茫希望的日记,終のステラ後日談微かな希望の日記stellaoftheendafterstorydiaryofafainthope星之终途后日谈渺茫希望的日记nan,1663
6835,v41412,-0.373,-0.044,-0.092,-0.261,24506.416,2255.205,-0.042,,,めくとき,38,7.330,7.460,月の女、河の天使、神めくとき。,"Lunar maiden, River-side Angel, and the Godlike moment",月之少女、河中天使与成神之刻。,月の女河の天使神めくときlunarmaidenriversideangelandthegodlikemoment月之少女河中天使与成神之刻めくとき,1664
4993,v22302,-1.007,-0.128,-0.292,-0.829,4517.378,1264.062,-0.106,,,The brave and the devil and the witch's cafe\n魔女カフェ\nMajoCafe,41,7.330,7.450,勇者と魔王と、魔女のカフェ,,,勇者と魔王と魔女のカフェthebraveandthedevilandthewitchscafen魔女カフェnmajocafe,1665
258,v358,0.162,0.085,0.126,0.160,17541.326,1730.665,0.028,,,Kiminozo SFD,47,7.330,7.430,君が望む永遠 ～special FanDisk～,,,君が望む永遠specialfandiskkiminozosfd,1666
320,v505,1.031,0.286,0.453,0.871,14811.078,1710.466,0.089,,,Song to the Rapids on Mount Fukaki\ntayuuta,45,7.330,7.430,峰深き瀬にたゆたう唄,,,峰深き瀬にたゆたう唄songtotherapidsonmountfukakintayuuta,1667
5115,v22736,2.250,0.486,0.608,1.281,30265.854,1938.331,0.167,,,,48,7.330,7.430,,Lighthouse of guiding flames,Lighthouse of guiding flames,lighthouseofguidingflameslighthouseofguidingflamesnan,1668
2364,v11029,-1.032,-0.101,-0.175,-0.538,18165.544,1828.558,-0.078,,,NOeSIS－嘘を吐いた记忆の物语,59,7.330,7.390,NOeSIS～嘘を吐いた記憶の物語～,,NOeSIS01 诉说谎言的记忆物语,noesis嘘を吐いた記憶の物語noesis01诉说谎言的记忆物语noesis嘘を吐いた记忆の物语,1669
3067,v14649,-0.427,-0.078,-0.120,-0.259,25753.724,1686.650,-0.006,,,ディアボリックラヴァーズ ダークフェイト,58,7.330,7.390,DIABOLIK LOVERS DARK FATE,,,diabolikloversdarkfateディアボリックラヴァーズダークフェイト,1670
5340,v24336,-1.502,-0.153,-0.359,-1.124,4801.699,1317.207,-0.135,,,,64,7.330,7.380,love clear -ラブクリア-,,,loveclearラブクリアnan,1671
3543,v16793,-0.206,0.001,0.012,-0.054,6351.774,1399.678,-0.012,,,巨乳くのいち・朱雀～触手、潮吹き責め～,73,7.330,7.360,巨乳くのいち・朱雀 ～触手・潮吹き責め～,,,巨乳くのいち・朱雀触手・潮吹き責め巨乳くのいち・朱雀触手潮吹き責め,1672
971,v2472,-0.083,-0.034,-0.045,-0.066,4892.390,1531.330,-0.010,,,,76,7.330,7.350,学食のおばさん～母さんの汁の味～,,,学食のおばさん母さんの汁の味nan,1673
3837,v18285,-0.198,0.065,0.100,0.041,8160.264,1637.704,0.002,,,,76,7.330,7.350,その古城に勇者砲あり！,,,その古城に勇者砲ありnan,1674
4357,v19925,-0.316,-0.025,-0.061,-0.231,4592.818,1422.222,-0.021,,,,81,7.330,7.350,俺が校則！中出し以外は校則違反！！！ ～女子校生全員中出し完全制圧計画～,,,俺が校則中出し以外は校則違反女子校生全員中出し完全制圧計画nan,1675
5441,v24866,-1.145,-0.194,-0.276,-0.681,9038.833,1264.123,-0.065,,,,80,7.330,7.350,ミラクルスイーツショップ,Miracle Snack Shop,爱恋冰果室,ミラクルスイーツショップmiraclesnackshop爱恋冰果室nan,1676
19,v20,1.847,0.290,0.528,1.464,6211.985,1591.852,0.180,,,トゥハート２\nTH2\nLeaf Visual Novel Series Volume 5,1005,7.330,7.330,ToHeart2,,,toheart2トゥハートnth2nleafvisualnovelseriesvolume5,1677
234,v295,-0.522,0.111,0.149,0.170,11492.397,1202.165,0.024,,,Famicom Tantei Kurabu Part II: Ushiro ni Tatsu Shoujo\nFamicom Detective Club Part II: The Girl in Back,333,7.330,7.330,ファミコン探偵倶楽部PartII うしろに立つ少女,Famicom Detective Club: The Girl Who Stands Behind,Famicom Detective Club: The Girl Who Stands Behind,ファミコン探偵倶楽部partiiうしろに立つ少女famicomdetectiveclubthegirlwhostandsbehindfamicomdetectiveclubthegirlwhostandsbehindfamicomtanteikurabupartiiushironitatsushoujonfamicomdetectiveclubpartiithegirlinback,1678
246,v315,-0.150,0.029,0.046,0.011,5660.212,1379.018,0.001,,,ワーズ・ワース\nWW,244,7.330,7.330,WORDS・WORTH,,,words・worthワーズ・ワースnww,1679
877,v2023,-0.856,-0.015,-0.052,-0.331,12461.606,1423.438,-0.063,,,"スタスカ, sutasuka,",182,7.330,7.330,Starry☆Sky ~in Autumn~,,,starryskyinautumnスタスカsutasuka,1680
1380,v4624,-0.366,-0.025,-0.050,-0.207,4756.680,1448.291,-0.025,,,,110,7.330,7.330,未亡人沙苗「私が初めてでいいの……?」,,,未亡人沙苗私が初めてでいいのnan,1681
1820,v7576,0.267,0.155,0.226,0.683,6577.928,1722.954,0.091,,,The unforgiving flowers blossom in the dead of night.,1493,7.330,7.330,彼岸花の咲く夜に 第一夜,Higanbana no Saku Yoru ni - The First Night,彼岸花盛开之夜 第一夜,彼岸花の咲く夜に第一夜higanbananosakuyorunithefirstnight彼岸花盛开之夜第一夜theunforgivingflowersblossominthedeadofnight,1682
2210,v10304,0.821,0.315,0.576,1.751,5329.053,1716.317,0.241,,,SakuSaku,2480,7.330,7.330,恋がさくころ桜どき,Saku Saku: Love Blooms with the Cherry Blossoms,恋花绽放樱飞时,恋がさくころ桜どきsakusakulovebloomswiththecherryblossoms恋花绽放樱飞时sakusaku,1683
2274,v10613,-0.121,0.142,0.210,0.232,7039.501,1786.007,0.024,,,Resonance of the Starlight,203,7.330,7.330,星彩のレゾナンス,,,星彩のレゾナンスresonanceofthestarlight,1684
2339,v10926,-1.605,-0.248,-0.444,-1.118,3903.848,1329.159,-0.159,,,ないない！\nNainai,106,7.330,7.330,ないしょのないしょ！,,秘密的秘密,ないしょのないしょ秘密的秘密ないないnnainai,1685
3167,v15076,-0.093,0.029,0.070,0.081,4885.662,1452.576,0.022,,,隠恋ぼ（かくれんぼ） ～二人だけのヒミツの時間～,145,7.330,7.330,隠恋ぼ ～二人だけのヒミツの時間～,,,隠恋ぼ二人だけのヒミツの時間隠恋ぼかくれんぼ二人だけのヒミツの時間,1686
3260,v15602,-0.313,0.175,0.361,0.726,5686.666,1444.224,0.126,,,Fureraba Mini Fandisc\nFriend to Lover FD\nフレラバFD,605,7.330,7.330,フレラバ 〜Friend to Lover〜 ミニファンディスク,Fureraba: After Stories DLC,Fureraba: After Stories DLC,フレラバfriendtoloverミニファンディスクfurerabaafterstoriesdlcfurerabaafterstoriesdlcfurerabaminifandiscnfriendtoloverfdnフレラバfd,1687
3394,v16208,0.858,0.240,0.504,1.731,4342.773,1543.312,0.207,,,,3095,7.330,7.330,クロノクロック,ChronoClock,柯罗的怀表,クロノクロックchronoclock柯罗的怀表nan,1688
