idx,vid,appear,total,percentage,simple,weighted_simple,pagerank,elo,entropy,title_ja,title_en,title_zh,alias,search,c_votecount,c_rating,c_average,rank
6978,v47866,634,5.0142,0.8073,0.9921,2.3664,46451.7580,3074.6039,0.5232,もんむす・くえすと！ ぱらどっくすRPG終章,,,PLUS-DISK\nPLUS+DISC\nPLUS+DISK,もんむす・くえすと！ ぱらどっくすRPG終章   PLUS-DISK PLUS+DISC PLUS+DISK,50,8.4500,9.4400,48
5868,v27916,642,4.2632,0.6427,0.9252,2.3258,40590.4778,3353.2720,0.4450,死月妖花～四月八日～,,,F/ha\nFHA\nフェイトホロウアタラクシア\nホロウ,死月妖花～四月八日～   F/ha FHA フェイトホロウアタラクシア ホロウ,54,8.4500,9.1900,49
3443,v16418,574,2.0470,0.2207,0.3920,1.1708,28365.9389,2085.9537,0.1657,大正メビウスライン 帝都備忘録,,ONE ～燦爛季節～,ONE ～燦爛季節～,大正メビウスライン 帝都備忘録  ONE ～燦爛季節～ ONE ～燦爛季節～,62,8.4500,8.8400,50
1054,v2888,1965,1.8580,0.2650,0.5980,1.5484,16207.6677,2239.8341,0.2172,サクラ大戦３～巴里は燃えているか～,,樱花大战3～巴黎在燃烧吗～,,サクラ大戦３～巴里は燃えているか～  樱花大战3～巴黎在燃烧吗～ ,71,8.4500,8.6600,51
16,v17,6713,27.4613,0.6402,0.9583,4.9714,8428.8354,1828.6366,0.5460,Ever17 -the out of infinity-,Ever17 -out of infinity-,时空轮回,[X] GENUFLECT,Ever17 -the out of infinity- Ever17 -out of infinity- 时空轮回 [X] GENUFLECT,8104,8.4500,8.4500,52
893,v2088,1831,1.7875,0.1244,0.1955,0.7480,14074.8542,1957.9617,0.0452,大正メビウスライン,,,,大正メビウスライン   ,178,8.4500,8.4500,53
2447,v11472,1621,4.6255,0.3959,0.6700,2.0903,22121.9647,2193.0628,0.2382,剣が君,Ken ga Kimi: The Name of the Sword,剑为君舞,,剣が君 Ken ga Kimi: The Name of the Sword 剑为君舞 ,234,8.4500,8.4500,54
3587,v17012,4875,8.5657,0.5608,0.9165,3.1791,11089.3872,2032.1996,0.4470,天ノ少女,The Shell Part III: Paradiso,天之少女,,天ノ少女 The Shell Part III: Paradiso 天之少女 ,892,8.4500,8.4500,55
3588,v17018,2656,5.9145,0.3877,0.6589,2.3609,12083.4151,1911.8148,0.2691,古書店街の橋姫,Hashihime of the Old Book Town,旧书店街的桥姬,Syarin,古書店街の橋姫 Hashihime of the Old Book Town 旧书店街的桥姬 Syarin,786,8.4500,8.4500,56
5112,v22728,1845,3.7355,0.2099,0.4244,1.6104,14372.2999,1798.8527,0.1764,シルバー事件25区,The 25th Ward: The Silver Case,,,シルバー事件25区 The 25th Ward: The Silver Case  ,392,8.4400,8.4400,57
