vid,appear
v1205,156
v1207,58
v1208,53
v1209,339
v1210,625
v1211,255
v1213,112
v1215,408
v1218,81
v1219,191
v1220,29
v1221,102
v1222,323
v1223,23
v1224,65
v1225,197
v1226,13
v1227,531
v1228,161
v1229,1463
v1230,3944
v1233,218
v1234,360
v1235,1
v1237,222
v1238,49
v1239,1046
v1240,124
v1241,2924
v1242,722
v1243,320
v1244,9
v1245,226
v1246,101
v1248,914
v1249,50
v1250,83
v1251,27
v1252,6
v1253,92
v1254,11
v1256,17
v1257,348
v1258,20
v1260,89
v1262,632
v1267,172
v1268,4
v1269,3182
v1270,203
v1271,80
v1272,1193
v1274,798
v1275,69
v1277,476
v1278,2253
v1279,1578
v1280,721
v1281,3161
v1282,1102
v1283,297
v1284,1057
v1285,1370
v1286,6973
v1287,1313
v1288,163
v1289,823
v1290,1940
v1291,252
v1292,2549
v1293,41
v1294,89
v1295,10
v1296,2588
v1298,1265
v1299,3464
v1300,182
v1301,6
v1303,4470
v1305,1208
v1306,6519
v1307,4622
v1308,2880
v1309,257
v1310,1137
v1311,2092
v1312,737
v1313,1548
v1314,820
v1315,255
v1316,165
v1318,369
v1319,1025
v1320,1645
v1321,302
v1322,4931
v1324,2637
v1325,1022
v1326,879
v1327,901
v1328,3
v1329,465
v1331,899
v1332,252
v1333,2539
v1334,8
v1335,1825
v1336,1627
v1337,2745
v1338,1842
v1339,2447
v1340,2064
v1341,25
v1342,226
v1343,6157
v1344,1
v1345,469
v1346,538
v1347,297
v1348,204
v1349,305
v1350,31
v1352,401
v1354,34
v1355,111
v1356,343
v1357,832
v1358,1419
v1359,1149
v1360,502
v1361,2947
v1362,456
v1363,127
v1364,776
v1365,2402
v1366,2159
v1367,216
v1368,2
v1369,2297
v1371,1513
v1372,194
v1375,3074
v1376,636
v1377,6014
v1378,2048
v1379,864
v1380,1014
v1381,1331
v1382,10
v1383,59
v1384,509
v1388,2022
v1389,1349
v1390,2016
v1391,75
v1392,850
v1395,99
v1396,18
v1397,56
v1398,3156
v1399,3234
v1400,8
v1401,267
v1402,99
v1403,168
v1405,415
v1407,96
v1409,1287
v1410,689
v1411,69
v1413,618
v1414,4393
v1415,62
v1416,1218
v1417,815
v1419,79
v1420,1171
v1423,25
v1424,342
v1426,5
v1427,4233
v1428,130
v1430,291
v1431,636
v1432,43
v1433,778
v1434,4961
v1435,6194
v1436,891
v1437,82
v1438,1489
v1439,3671
v1440,2
v1441,198
v1442,5603
v1443,1018
v1444,1525
v1445,2079
v1446,421
v1447,1004
v1448,185
v1450,646
v1451,3625
v1452,1455
v1453,315
v1454,301
v1455,794
v1456,803
v1457,721
v1458,1787
v1460,2144
v1461,1115
v1462,19
v1464,536
v1465,256
v1466,617
v1467,1660
v1468,108
v1470,416
v1471,49
v1472,23
v1473,22
v1474,7716
v1475,1189
v1477,455
v1478,1047
v1480,48
v1481,278
v1483,3352
v1484,2565
v1487,1315
v1488,56
v1489,180
v1491,3348
v1492,964
v1493,2646
v1494,3819
v1495,3093
v1496,812
v1497,5470
v1498,81
v1499,7
v1500,37
v1501,1088
v1502,439
v1503,3397
v1504,982
v1506,2385
v1507,113
v1508,170
v1509,156
v1510,2340
v1512,1018
v1513,98
v1516,908
v1517,673
v1518,1924
v1519,22
v1520,2079
v1524,1579
v1525,5246
v1526,689
v1527,104
v1528,95
v1529,151
v1530,1481
v1531,1138
v1535,460
v1536,32
v1537,49
v1539,382
v1540,1244
v1541,6332
v1542,2184
v1543,1020
v1544,728
v1545,3807
v1546,39
v1547,2850
v1549,287
v1551,1959
v1552,5746
v1553,335
v1554,59
v1555,7
v1560,3276
v1561,260
v1562,186
v1563,87
v1564,854
v1565,19
v1566,334
v1567,32
v1568,21
v1569,151
v1570,289
v1571,1
v1573,4
v1574,273
v1582,43
v1586,509
v1587,110
v1588,2
v1590,783
v1591,710
v1593,208
v1594,577
v1600,1201
v1601,3723
v1602,1916
v1603,546
v1604,5217
v1605,3912
v1606,100
v1608,1235
v1609,1420
v1610,1533
v1611,8
v1612,347
v1613,164
v1614,98
v1616,3650
v1617,514
v1618,193
v1619,272
v1620,29
v1621,2571
v1622,343
v1623,62
v1625,1228
v1626,1648
v1629,596
v1631,83
v1633,74
v1634,3
v1635,29
v1636,1039
v1637,2393
v1638,533
v1639,4987
v1640,100
v1641,15
v1642,404
v1643,273
v1644,420
