vid,title_ja,title_zh,c_votecount,c_rating,cnt,char_names
19345,炎の孕ませおっぱい★エロアプリ学園,,357,7.86,3,初音ヶ丘優衣;上坂彩音;如月響子
19953,カオスチャイルド らぶchu☆chu!!,,115,6.44,3,尾上世莉架;来栖乃々;南沢泉理
18791,僕と恋するポンコツアクマ。 すっごいえっち！,与我恋爱的废柴恶魔。 ～甜腻后日谈～,657,7.18,3,桐谷梨々愛;藤真咲莉;有瀬川アルル
2835,あまつみそらに！,,79,7.17,3,一ツ橋神奈;観崎美唯;帷千紗
6173,つよきす３学期,,102,7.47,3,蟹沢きぬ;鉄乙女;近衛素奈緒
4942,カミカゼ☆エクスプローラー！,,259,7.61,3,祐天寺美汐;速瀬まなみ;沖原琴羽
13108,ハピメア-Fragmentation Dream-,幸福噩梦 FD,275,7.79,3,蓮乃咲;内藤舞亜;鳥海有子
13840,えろどるっ☆,,33,6.02,3,佐倉ひめみ;星園かれん;雪宮あい
13892,恋愛まで選択肢ひとつ,,86,6.77,3,天塚鈴穂;西條霧緒;菱川花蓮
13901,催眠クラス　～女子全員、知らないうちに妊娠してました～,,257,7.35,3,九条さくら;青田夏;鷲ノ宮美琴
14018,CHAOS;CHILD,混沌之子,4498,8.35,3,尾上世莉架;来栖乃々;南沢泉理
12981,我が家のヒメガミさまっ！,,39,6.91,3,日野原恵;澤宮史織;阿刀椿姫
1143,真剣で私に恋しなさい！,认真和我谈恋爱！！,8827,8.35,3,川神百代;川神一子;椎名京
16560,見上げてごらん、夜空の星を,仰望夜空的星辰,1516,7.85,3,箒星ひかり;天ノ川沙夜;日下部ころな
3033,色に出でにけり わが恋は,,70,7.23,3,楓柚菜;春風朋音;鈴枝小町
3555,ココロの住処,,32,6.66,3,真崎璃奈;真崎茉梨;有定かえで
17515,僕と恋するポンコツアクマ。,与我恋爱的废柴小恶魔,1779,6.99,3,桐谷梨々愛;藤真咲莉;有瀬川アルル
18130,乙女理論とその後の周辺 -Belle Epoque-,少女理论及其之后的周边 -美好年代篇-,222,7.69,3,大蔵りそな;メリル・リンチ;ブリュエット・ニコレット・プランケット
12849,蒼の彼方のフォーリズム,苍之彼方的四重奏,5921,8.29,3,倉科明日香;有坂真白;市ノ瀬莉佳
22167,お嬢様は素直になれない ～大好きをキミだけに～,,43,7.43,3,緋神久遠;壬生なつき;近衛六花
1611,ふたりでひとつの恋心,,9,6.41,3,野々宮千尋;野々宮千早;野々宮千歳
1665,絶対可憐！お嬢様っ,,21,6.89,3,城之崎七星;白浜飛鳥;戸狩志摩
1740,恋色空模様,恋色空模样,261,7.62,3,服部彩;内海静奈;伊東美琴
1194,ヨスガノソラ,缘之空,2000,7.44,3,春日野穹;依媛奈緒;天女目瑛
1430,夏いろペンギン,,16,7.07,3,逢川千歌音;久葵芽衣;瑞宮茶織
10557,向日葵の教会と長い夏休み,向日葵的教会与长长的暑假,463,7.85,3,夏咲詠;鷺月ルカ;朧白・ヒポポ・金剛石
14777,子作りしようよ ソーマくん ～えっちな娘でもいいですか？～,,18,6.51,3,麻生美桜;五十嵐優菜;遊佐愛桂
12246,乙女理論とその周辺 -Ecole de Paris-,少女理论及其周边 -École de Paris-,503,8.1,3,大蔵りそな;メリル・リンチ;ブリュエット・ニコレット・プランケット
11712,ずっとすきして たくさんすきして,,93,7.13,3,甲斐中永遠;上条来夏;右高香春
